sfla,BuildingType,LocationType
2210.0,Single Family Home,In-State (Out of County)
1533.0,Single Family Home,In-County
2000.0,Single Family Home,In-State (Out of County)
2659.0,Single Family Home,Out of State
1705.0,Single Family Home,Out of State
3211.0,Single Family Home,In-County
2202.0,Single Family Home,In-State (Out of County)
2460.0,Single Family Home,In-County
1106.0,Apartment/Condo/Townhome,In-County
2714.0,Single Family Home,Out of State
3435.0,Single Family Home,In-County
1878.0,Single Family Home,Out of State
2490.0,Single Family Home,In-State (Out of County)
1619.0,Single Family Home,In-County
1344.0,Single Family Home,In-State (Out of County)
2370.0,Single Family Home,Out of State
3374.0,Single Family Home,Out of State
2164.0,Single Family Home,In-County
2253.0,Single Family Home,Out of State
1750.0,Single Family Home,In-County
1329.0,Single Family Home,In-State (Out of County)
2116.0,Single Family Home,In-State (Out of County)
918.0,Single Family Home,In-County
1632.0,Single Family Home,Out of State
1776.0,Single Family Home,In-State (Out of County)
1607.0,Single Family Home,In-County
2289.0,Single Family Home,Out of State
2957.0,Single Family Home,In-County
1926.0,Single Family Home,Out of State
2248.0,Single Family Home,In-County
2771.0,Single Family Home,Out of State
2650.0,Single Family Home,Out of State
3412.0,Single Family Home,In-County
1232.0,Single Family Home,Out of State
1558.0,Single Family Home,In-State (Out of County)
2316.0,Single Family Home,In-State (Out of County)
700.0,Single Family Home,In-County
2255.0,Single Family Home,In-State (Out of County)
2755.0,Single Family Home,Out of State
1304.0,Single Family Home,In-County
1238.0,Single Family Home,Out of State
1344.0,Single Family Home,Out of State
1456.0,Single Family Home,In-State (Out of County)
3261.0,Single Family Home,In-State (Out of County)
1676.0,Single Family Home,In-County
2022.0,Single Family Home,Out of State
4222.0,Single Family Home,Out of State
1536.0,Single Family Home,In-County
1744.0,Single Family Home,In-State (Out of County)
2512.0,Single Family Home,In-State (Out of County)
1106.0,Apartment/Condo/Townhome,In-County
5003.0,Single Family Home,Out of State
1388.0,Single Family Home,In-County
1344.0,Single Family Home,In-County
1984.0,Single Family Home,In-County
2215.0,Single Family Home,Out of State
2080.0,Single Family Home,In-County
1056.0,Single Family Home,In-State (Out of County)
2461.0,Single Family Home,Out of State
3736.0,Single Family Home,In-State (Out of County)
3006.0,Single Family Home,In-County
1136.0,Single Family Home,In-State (Out of County)
4056.0,Single Family Home,Out of State
2048.0,Single Family Home,Out of State
2961.0,Single Family Home,In-County
1646.0,Single Family Home,In-County
1445.0,Single Family Home,In-State (Out of County)
1271.0,Single Family Home,In-County
4200.0,Single Family Home,In-State (Out of County)
982.0,Single Family Home,Out of State
2964.0,Single Family Home,In-State (Out of County)
1386.0,Single Family Home,Out of State
1912.0,Single Family Home,In-State (Out of County)
3138.0,Single Family Home,In-State (Out of County)
1836.0,Single Family Home,In-State (Out of County)
696.0,Single Family Home,In-State (Out of County)
1384.0,Single Family Home,In-State (Out of County)
2180.0,Single Family Home,In-County
1720.0,Single Family Home,In-County
2608.0,Single Family Home,In-State (Out of County)
816.0,Single Family Home,In-County
864.0,Single Family Home,In-State (Out of County)
1783.0,Single Family Home,In-County
4521.0,Single Family Home,Out of State
850.0,Apartment/Condo/Townhome,In-State (Out of County)
1648.0,Single Family Home,In-State (Out of County)
1648.0,Single Family Home,In-County
2231.0,Single Family Home,Out of State
2093.0,Single Family Home,In-State (Out of County)
1368.0,Single Family Home,In-State (Out of County)
2496.0,Single Family Home,In-County
1148.0,Single Family Home,Out of State
1906.0,Single Family Home,Out of State
3290.0,Single Family Home,In-State (Out of County)
2240.0,Single Family Home,In-State (Out of County)
2788.0,Single Family Home,In-County
3543.0,Single Family Home,In-County
2266.0,Single Family Home,In-County
2380.0,Single Family Home,In-County
2848.0,Single Family Home,In-State (Out of County)
850.0,Apartment/Condo/Townhome,In-State (Out of County)
850.0,Apartment/Condo/Townhome,In-State (Out of County)
850.0,Apartment/Condo/Townhome,In-State (Out of County)
850.0,Apartment/Condo/Townhome,In-County
700.0,Apartment/Condo/Townhome,In-State (Out of County)
850.0,Apartment/Condo/Townhome,Out of State
850.0,Apartment/Condo/Townhome,In-State (Out of County)
700.0,Apartment/Condo/Townhome,In-State (Out of County)
850.0,Apartment/Condo/Townhome,In-State (Out of County)
850.0,Apartment/Condo/Townhome,In-State (Out of County)
700.0,Apartment/Condo/Townhome,In-State (Out of County)
850.0,Apartment/Condo/Townhome,In-State (Out of County)
700.0,Apartment/Condo/Townhome,Out of State
700.0,Apartment/Condo/Townhome,Out of State
700.0,Apartment/Condo/Townhome,Out of State
1120.0,Single Family Home,In-County
1610.0,Single Family Home,In-State (Out of County)
2061.0,Single Family Home,In-State (Out of County)
952.0,Single Family Home,In-State (Out of County)
1726.0,Single Family Home,In-County
3560.0,Single Family Home,In-State (Out of County)
1372.0,Single Family Home,Out of State
1460.0,Single Family Home,In-State (Out of County)
1188.0,Single Family Home,In-State (Out of County)
1928.0,Single Family Home,In-County
2088.0,Single Family Home,In-County
904.0,Single Family Home,In-State (Out of County)
3073.0,Single Family Home,In-State (Out of County)
1096.0,Single Family Home,In-State (Out of County)
748.0,Single Family Home,In-County
4764.0,Single Family Home,In-County
6073.0,Single Family Home,Out of State
850.0,Apartment/Condo/Townhome,In-State (Out of County)
2346.0,Single Family Home,In-State (Out of County)
1044.0,Single Family Home,In-State (Out of County)
2671.0,Single Family Home,Out of State
3000.0,Single Family Home,In-State (Out of County)
1080.0,Single Family Home,In-County
2166.0,Single Family Home,Out of State
2556.0,Single Family Home,In-State (Out of County)
1206.0,Single Family Home,In-State (Out of County)
1816.0,Single Family Home,In-County
1799.0,Single Family Home,In-State (Out of County)
2826.0,Single Family Home,In-County
1520.0,Single Family Home,Out of State
2745.0,Single Family Home,Out of State
2628.0,Single Family Home,Out of State
