date,value,year
1970-01-01,2.665,1970
1971-01-01,3.3,1971
1972-01-01,4.0,1972
1973-01-01,4.9,1973
1974-01-01,5.6,1974
1975-01-01,5.9,1975
1976-01-01,6.5,1976
1977-01-01,7.3,1977
1978-01-01,8.0,1978
1979-01-01,8.6,1979
1980-01-01,8.848,1980
1981-01-01,9.388,1981
1982-01-01,10.273,1982
1983-01-01,10.688,1983
1984-01-01,10.636,1984
1985-01-01,11.058,1985
1986-01-01,11.477,1986
1987-01-01,11.415,1987
1988-01-01,11.634,1988
1989-01-01,12.191,1989
1990-01-01,13.124,1990
1991-01-01,13.962,1991
1992-01-01,15.025,1992
1993-01-01,16.169,1993
1994-01-01,17.49,1994
1995-01-01,18.873,1995
1996-01-01,19.9,1996
1997-01-01,20.976,1997
1998-01-01,21.702,1998
1999-01-01,23.069,1999
2000-01-01,23.709,2000
2001-01-01,24.722,2001
2002-01-01,24.995,2002
2003-01-01,25.358,2003
2004-01-01,25.219,2004
2005-01-01,25.336,2005
2006-01-01,25.791,2006
2007-01-01,26.31,2007
2008-01-01,26.771,2008
2009-01-01,27.217,2009
2010-01-01,28.075,2010
2011-01-01,28.048,2011
2012-01-01,28.307,2012
2013-01-01,28.741,2013
2014-01-01,29.333,2014
2015-01-01,30.064,2015
2016-01-01,30.573,2016
2017-01-01,30.848,2017
2018-01-01,30.771,2018
2019-01-01,30.851,2019
2020-01-01,31.239,2020
2021-01-01,31.235,2021
2022-01-01,30.905,2022
2023-01-01,30.824,2023
2024-01-01,30.882,2024
