year_blt,cumulative_sqft
0,2938.0
1875,4878.0
1880,7574.0
1881,10844.0
1882,14017.0
1883,15435.0
1884,18405.0
1885,26436.0
1886,31378.0
1890,79625.0
1893,81459.0
1895,83075.0
1896,88161.0
1899,90367.0
1900,132825.0
1901,133864.0
1902,137472.0
1904,138801.0
1905,150911.0
1908,152221.0
1909,153915.0
1910,168653.0
1912,171557.0
1913,172298.0
1915,181807.0
1916,183659.0
1917,191200.0
1918,191440.0
1920,208141.0
1921,213653.0
1922,214437.0
1923,218378.0
1924,219920.0
1925,229452.0
1926,230877.0
1928,232184.0
1930,252829.0
1931,253159.0
1932,258955.0
1933,264116.0
1935,273442.0
1936,277264.0
1938,289778.0
1939,299229.0
1940,325406.0
1941,326755.0
1942,329567.0
1943,331893.0
1944,337048.0
1945,339973.0
1946,345298.0
1947,348208.0
1948,366839.0
1950,394261.0
1951,397816.0
1952,403933.0
1953,411306.0
1954,412758.0
1955,434759.0
1956,453487.0
1957,461564.0
1958,482262.0
1959,494289.0
1960,532179.0
1961,587293.0
1962,651159.0
1963,771409.0
1964,865480.0
1965,1183594.0
1966,1454618.0
1967,1644698.0
1968,1935171.0
1969,2204935.0
1970,2631860.0
1971,3165751.0
1972,4793881.0
1973,6316498.0
1974,7224761.0
1975,7636196.0
1976,8112796.0
1977,8891294.0
1978,9877534.0
1979,11816821.0
1980,13707026.0
1981,15239221.0
1982,16301578.0
1983,17201858.0
1984,18064144.0
1985,18709676.0
1986,19036444.0
1987,19306218.0
1988,19506950.0
1989,19997832.0
1990,20681681.0
1991,21399015.0
1992,22263286.0
1993,23354463.0
1994,25211448.0
1995,26938195.0
1996,28635908.0
1997,30501758.0
1998,32647703.0
1999,35051095.0
2000,37264286.0
2001,38458132.0
2002,39477482.0
2003,40421891.0
2004,41556762.0
2005,42923098.0
2006,44233180.0
2007,45693565.0
2008,46595786.0
2009,46891395.0
2010,47205662.0
2011,47615791.0
2012,47994946.0
2013,48585330.0
2014,49272474.0
2015,50000584.0
2016,50719793.0
2017,51703138.0
2018,52697195.0
2019,53668163.0
2020,54423718.0
2021,55365188.0
2022,56182737.0
2023,57076125.0
2024,57533687.0
