date,value,year
1970-01-01,205052000,1970
1971-01-01,207661000,1971
1972-01-01,209896000,1972
1973-01-01,211909000,1973
1974-01-01,213854000,1974
1975-01-01,215973000,1975
1976-01-01,218035000,1976
1977-01-01,220239000,1977
1978-01-01,222585000,1978
1979-01-01,225055000,1979
1980-01-01,227225000,1980
1981-01-01,229466000,1981
1982-01-01,231664000,1982
1983-01-01,233792000,1983
1984-01-01,235825000,1984
1985-01-01,237924000,1985
1986-01-01,240133000,1986
1987-01-01,242289000,1987
1988-01-01,244499000,1988
1989-01-01,246819000,1989
1990-01-01,249623000,1990
1991-01-01,252981000,1991
1992-01-01,256514000,1992
1993-01-01,259919000,1993
1994-01-01,263126000,1994
1995-01-01,266278000,1995
1996-01-01,269394000,1996
1997-01-01,272657000,1997
1998-01-01,275854000,1998
1999-01-01,279040000,1999
2000-01-01,282162411,2000
2001-01-01,284968955,2001
2002-01-01,287625193,2002
2003-01-01,290107933,2003
2004-01-01,292805298,2004
2005-01-01,295516599,2005
2006-01-01,298379912,2006
2007-01-01,301231207,2007
2008-01-01,304093966,2008
2009-01-01,306771529,2009
2010-01-01,309378227,2010
2011-01-01,311839461,2011
2012-01-01,314339099,2012
2013-01-01,316726282,2013
2014-01-01,319257560,2014
2015-01-01,321815121,2015
2016-01-01,324353340,2016
2017-01-01,326608609,2017
2018-01-01,328529577,2018
2019-01-01,330226227,2019
2020-01-01,331577720,2020
2021-01-01,332099760,2021
2022-01-01,334017321,2022
2023-01-01,336806231,2023
2024-01-01,340110988,2024
