date,value,year
2000-04-01,116047.0,2000
2000-07-01,116482.0,2000
2000-10-01,116914.0,2000
2001-01-01,117347.0,2001
2001-04-01,117786.0,2001
2001-07-01,118216.0,2001
2001-10-01,118635.0,2001
2002-01-01,119061.0,2002
2002-04-01,119483.0,2002
2002-07-01,119909.0,2002
2002-10-01,120350.0,2002
2003-01-01,120792.0,2003
2003-04-01,121233.0,2003
2003-07-01,121682.0,2003
2003-10-01,122159.0,2003
2004-01-01,122632.0,2004
2004-04-01,123099.0,2004
2004-07-01,123587.0,2004
2004-10-01,124096.0,2004
2005-01-01,124611.0,2005
2005-04-01,125118.0,2005
2005-07-01,125619.0,2005
2005-10-01,126104.0,2005
2006-01-01,126584.0,2006
2006-04-01,127072.0,2006
2006-07-01,127548.0,2006
2006-10-01,127991.0,2006
2007-01-01,128439.0,2007
2007-04-01,128888.0,2007
2007-07-01,129300.0,2007
2007-10-01,129634.0,2007
2008-01-01,129968.0,2008
2008-04-01,130303.0,2008
2008-07-01,130590.0,2008
2008-10-01,130797.0,2008
2009-01-01,131001.0,2009
2009-04-01,131207.0,2009
2009-07-01,131375.0,2009
2009-10-01,131490.0,2009
2010-01-01,131626.0,2010
2010-04-01,131749.0,2010
2010-07-01,131874.0,2010
2010-10-01,131995.0,2010
2011-01-01,132117.0,2011
2011-04-01,132239.0,2011
2011-07-01,132362.0,2011
2011-10-01,132491.0,2011
2012-01-01,132619.0,2012
2012-04-01,132748.0,2012
2012-07-01,132890.0,2012
2012-10-01,133062.0,2012
2013-01-01,133234.0,2013
2013-04-01,133408.0,2013
2013-07-01,133593.0,2013
2013-10-01,133799.0,2013
2014-01-01,134005.0,2014
2014-04-01,134212.0,2014
2014-07-01,134423.0,2014
2014-10-01,134642.0,2014
2015-01-01,134862.0,2015
2015-04-01,135081.0,2015
2015-07-01,135309.0,2015
2015-10-01,135552.0,2015
2016-01-01,135795.0,2016
2016-04-01,136039.0,2016
2016-07-01,136289.0,2016
2016-10-01,136554.0,2016
2017-01-01,136818.0,2017
2017-04-01,137083.0,2017
2017-07-01,137354.0,2017
2017-10-01,137637.0,2017
2018-01-01,137920.0,2018
2018-04-01,138203.0,2018
2018-07-01,138488.0,2018
2018-10-01,138778.0,2018
2019-01-01,139069.0,2019
2019-04-01,139360.0,2019
2019-07-01,139655.0,2019
2019-10-01,139961.0,2019
2020-01-01,140266.0,2020
2020-04-01,140603.0,2020
2020-07-01,140925.0,2020
2020-10-01,141265.0,2020
2021-01-01,141605.0,2021
2021-04-01,141945.0,2021
2021-07-01,142308.0,2021
2021-10-01,142714.0,2021
2022-01-01,143121.0,2022
2022-04-01,143528.0,2022
2022-07-01,143929.0,2022
2022-10-01,144319.0,2022
2023-01-01,144709.0,2023
2023-04-01,145099.0,2023
2023-07-01,145477.0,2023
2023-10-01,145830.0,2023
2024-01-01,146183.0,2024
2024-04-01,146535.0,2024
2024-07-01,146888.0,2024
2024-10-01,147241.0,2024
2025-01-01,147594.0,2025
2025-04-01,147947.0,2025
